
Japanese	Type	Romaji	English
しゃべり	noun	shaberi	talk
ジュース	noun	Jūsu	Juice
しょう	noun	Shō	Way
ショッピング	noun	shoppingu	shopping
ショッピング	noun	Shoppingu	Shopping
しわ	noun	Shiwa	Wrinkle
スイッチ	noun	Suicchi	Switch
スープ	noun	Sūpu	soup
すえ	noun	sue	Sue
スキー	noun	Sukī	Skiing
スケート	noun	Sukeito	Skate
スズメバチ	noun	Suzumebachi	Hornet
スター	noun	Sutā	Star
スタイル	noun	Sutairu	Style
スタッフ	noun	Sutaffu	Staff
スタンド	noun	Sutando	Stand
ストレス	noun	Sutoresu	Stress
ストレス	noun	Sutoresu	Stress
スピーチ	noun	Supīchi	Speech
スピード	noun	Supīdo	Speed
スポーツ	noun	Supōtsu	Sport
スポーツ	noun	Supōtsu	Sport
せい	noun	sei	act
セール	noun	Seiru	Sale
せき	noun	Seki	Seat
せき	noun	seki	cough
セット	noun	Setto	Set
センター	noun	Sentā	Centre
そば	noun	Soba	Side
ソファー	noun	Sofā	Sofa
ソフト	noun	sofuto	soft
それぞれ	noun	Sorezore	Each
ダイエット	noun	Daietto	Diet
だいたい	noun	Daitai	General
タイトル	noun	Taitoru	Title
ダイヤ	noun	Daiya	Diamond
タオル	noun	Taoru	towel
ダンス	noun	Dansu	Dance
チーズ	noun	Chīzu	Cheese
チーム	noun	Chīmu	Team
チームワーク	noun	Chīmuwāku	Teamwork
チャンス	noun	Chansu	Chance
ちょうだい	noun	Chōdai	Receiving
ディスカッション	noun	disukasshon	discussion
ディスカッション	noun	Disukasshon	Discussion
ディナー	noun	Dinā	Dinner
デー	noun	dei	day
デート	noun	Deito	Date
テーマ	noun	Teima	Topic
デジカメ	noun	Dejikame	Digital camera
テレビ	noun	Terebi	Television
テント	noun	Tento	Tent
トイレット	noun	Toiretto	Toilet
とき	noun	toki	time
ところ	noun	Tokoro	Place
ところ	noun	Tokoro	Place
トップ	noun	Toppu	Top
トマト	noun	Tomato	Tomato
ドライブ	noun	Doraibu	Drive
トラック	noun	Torakku	Truck
ドラマ	noun	Dorama	Drama
トランプ	noun	Toranpu	Playing cards
ドリンク	noun	Dorinku	Drink
トレーニング	noun	Toreiningu	Training
ドレス	noun	Doresu	Dress
トンネル	noun	Tonneru	Tunnel
なす	noun	Nasu	Eggplant
ニーズ	noun	Nīzu	Needs
にんじん	noun	Ninjin	Carrot
ネズミ	noun	Nezumi	Mouse
ネット	noun	Netto	Net
ネット	noun	Netto	Net
ノック	noun	Nokku	Knock
パーセント	noun	Pāsento	Percent
バーベキュー	noun	Bābekyū	Barbecue
バイオリン	noun	Baiorin	Violin
ハイキング	noun	Haikingu	Hiking
バイク	noun	Baiku	Bike
パイプ	noun	Paipu	Pipe
パイロット	noun	Pairotto	Pilot
バカ	noun	Baka	Fool
はさみ	noun	Hasami	Scissors
パス	noun	Pasu	Path
パスタ	noun	Pasuta	Pasta
パスポート	noun	Pasupōto	Passport
はちみつ	noun	Hachimitsu	Honey
バッグ	noun	Baggu	Bag
はと	noun	Hato	Pigeon
バドミントン	noun	Badominton	Badminton
ハム	noun	Hamu	Ham
バランス	noun	Baransu	Balance
パリ	noun	Pari	Paris
バレンタイン	noun	Barentain	Valentine
バンド	noun	Bando	Bando
ハンバーガー	noun	Hanbāgā	Hamburger
ピアス	noun	Piasu	Earrings
ビール	noun	Bīru	Beer
ピクニック	noun	Pikunikku	Picnic
ピザ	noun	Piza	Pizza
ピッチャー	noun	Picchā	Pitcher
ヒット	noun	Hitto	Hit
ビデオ	noun	Bideo	Video
ビニール	noun	Binīru	Vinyl
ひび	noun	Hibi	Crack
ピン	noun	Pin	Pin
ファイル	noun	Fairu	File
ファスト	noun	Fasuto	First
ファッション	noun	Fasshon	Fashion
フィンランド	noun	Finrando	Finland
フード	noun	fūdo	food
プライベート	noun	Puraibeito	Private
プラグ	noun	Puragu	Plug
プラス	noun	Purasu	Plus
プラン	noun	Puran	Plan
フルーツ	noun	Furūtsu	Fruit
ブレーキ	noun	Bureiki	Brake
プレゼン	noun	Purezen	Presentation
プレゼンテーション	noun	Purezenteishon	Presentation
プロ	noun	Puro	Professional
プロジェクター	noun	Purojekutā	Projector
プロジェクト	noun	Purojekuto	Project
ページ	noun	peiji	page
ペーパー	noun	peipā	paper
ヘッドホン	noun	Heddohon	Headphone
ベランダ	noun	Beranda	Balcony
ベルト	noun	Beruto	Belt for western clothes
ベンチ	noun	Benchi	Bench
ボウリング	noun	Bōringu	Bowling
ボウル	noun	Bōru	Bowl
ボート	noun	Bōto	Boat
ホーム	noun	Hōmu	Platform
ホーム	noun	Hōmu	Platform
ホームステイ	noun	Hōmusutei	Homestay
ボール	noun	Bōru	Ball
ほこり	noun	Hokori	Dust
ほど	noun	hodo	degree
マーケット	noun	Māketto	Market
マイク	noun	Maiku	Mike
マスク	noun	Masuku	Mask
まつ	noun	matsu	Matsu
まま	noun	mama	as it is
ママ	noun	Mama	Mama
マンション	noun	Manshon	Large apartment
ミス	noun	Misu	Mistake
ミルク	noun	Miruku	Milk
メール	noun	meiru	email
メダル	noun	Medaru	Medal
メモ	noun	Memo	Memorandum
メリット	noun	Meritto	Advantage
めん	noun	men	noodles
メンバー	noun	Menbā	Member
モデル	noun	Moderu	Model
やる気	noun	Yaruki	Willingness
ゆうべ	noun	Yūbe	Evening
ユーモア	noun	Yūmoa	Humor
ユニフォーム	noun	Yunifōmu	Uniform
ヨーグルト	noun	Yōguruto	Yoghurt
ヨーロッパ	noun	Yōroppa	Europe
ヨット	noun	Yotto	Yacht
ライター	noun	Raitā	Lighter
ライバル	noun	Raibaru	Rival
ラケット	noun	Raketto	Racket
ランチ	noun	Ranchi	Launch
ランニング	noun	Ranningu	Running
リットル	noun	Rittoru	Litre
ルーム	noun	rūmu	room
レシピ	noun	Reshipi	Recipe
レンズ	noun	renzu	lens
レンタル	noun	Rentaru	Rental
ロケット	noun	Roketto	Locket
ワイン	noun	Wain	Wine
わがまま	noun	Wagamama	Selfishness
ワン	noun	Wan	One
哀れ	noun	Aware	Pity
愛	noun	Ai	Love
愛情	noun	Aijō	Love
悪口	noun	Waruguchi	Abuse
悪魔	noun	Akuma	Devil
握手	noun	Akushu	Handshake
宛先	noun	Atesaki	Address
安全	noun	anzen	safety
安定	noun	Antei	Stability
暗記	noun	Anki	Memorization
案	noun	An	Idea
以前	noun	Izen	Ago
以来	noun	Irai	Since
位置	noun	Ichi	Place
依頼	noun	Irai	Request
委員	noun	Iin	Committee member
意志	noun	Ishi	Will
意思	noun	Ishi	Intention
意識	noun	Ishiki	Consciousness
異常	noun	Ijō	Strangeness
移動	noun	Idō	Removal
維持	noun	Iji	Maintenance
胃	noun	I	Stomach
衣服	noun	Ifuku	Clothes
違い	noun	Chigai	Difference
違い	noun	Chigai	Difference
違反	noun	Ihan	Violation
医師	noun	Ishi	Doctor
医療	noun	Iryō	Medical care
一	noun	Ichi	One
一	noun	Ichi	One
一	noun	Ichi	One
一家	noun	Ikka	A house
一気	noun	Ikki	Drink!
一言	noun	Hitokoto	Single word
一時	noun	Ichiji	One hour
一種	noun	Isshu	Species
一瞬	noun	Isshun	Moment
一人一人	noun	Hitorihitori	One by one
一生	noun	Isshō	Whole life
一体	noun	Ittai	…the heck
一致	noun	Icchi	Coincidence
一般	noun	Ippan	General
一般	noun	Ippan	General
稲	noun	Ine	Rice-plant
印	noun	In	Seal
印刷	noun	Insatsu	Printing
印象	noun	Inshō	Impression
引っ越し	noun	Hikkoshi	Moving
引退	noun	Intai	Retire
引用	noun	In’yō	Quotation
陰	noun	Kage	Yin
宇宙	noun	Uchū	Universe
羽	noun	Hane	Feather
嘘	noun	Uso	Lie
噂	noun	Uwasa	Rumour
運	noun	Un	Fortune
餌	noun	Esa	Feed
営業	noun	Eigyō	Business
営業	noun	Eigyō	Business
営業	noun	Eigyō	Business
影	noun	Kage	Shadow
影響	noun	Eikyō	Influence
栄養	noun	Eiyō	Nutrition
永遠	noun	Eien	Eternity
永久	noun	Eikyū	Eternity
泳ぎ	noun	Oyogi	Swimming
衛星	noun	Eisei	Satellite
延期	noun	Enki	Postponement
援助	noun	Enjo	Assistance
演技	noun	Engi	Acting
演説	noun	Enzetsu	Speech
演奏	noun	Ensō	Musical performance
炎	noun	Honō	Flame
煙	noun	Kemuri	Smoke
猿	noun	Saru	Monkey
縁	noun	En	Fate
汚染	noun	Osen	Pollution
奥	noun	Oku	Interior
横断	noun	ōdan	Crossing
王	noun	ō	King
王	noun	ō	King
王子	noun	ōji	Prince
沖	noun	Oki	Open sea
屋根	noun	Yane	Roof
温度	noun	Ondo	Temperature
音楽	noun	Ongaku	Music
音楽	noun	ongaku	music
下り	noun	Kudari	Down-train
下記	noun	Kaki	The following
化学	noun	Kagaku	Chemistry
化粧	noun	Keshō	Make-up
化粧	noun	Keshō	Make-up
価格	noun	Kakaku	Price
価値	noun	Kachi	Value
加減	noun	Kagen	Addition and subtraction
嫁	noun	Yome	Wife
家具	noun	Kagu	Furniture
家事	noun	Kaji	Housework
家賃	noun	Yachin	Rent
科目	noun	Kamoku	subject
歌手	noun	Kashu	Singer
火災	noun	Kasai	Conflagration
火曜	noun	Kayō	Tuesday
花火	noun	Hanabi	Fireworks
荷物	noun	nimotsu	luggage
菓子	noun	kashi	pastry
課	noun	ka	lesson
過去	noun	Kako	The past
蚊	noun	Ka	Mosquito
我慢	noun	Gaman	Patience
画家	noun	Gaka	Painter
画像	noun	Gazō	Image
画面	noun	Gamen	Terminal screen
芽	noun	Me	Sprout
会員	noun	Kaiin	Member
会計	noun	Kaikei	Account
会合	noun	Kaigō	Meeting
解決	noun	Kaiketsu	Settlement
解釈	noun	Kaishaku	Explanation
回り	noun	Mawari	Circumference
回復	noun	Kaifuku	Recovery
快適	noun	Kaiteki	Pleasant
怪我	noun	Kega	Injury
改善	noun	Kaizen	Betterment
海外	noun	Kaigai	Foreign
灰	noun	Hai	Ash
絵画	noun	Kaiga	Picture
開始	noun	Kaishi	Start
外交	noun	Gaikō	Diplomacy
外出	noun	Gaishutsu	Outing
咳	noun	Seki	Cough
蓋	noun	Futa	Cover
街	noun	Machi	Town
拡大	noun	Kakudai	Magnification
