Japanese	Hiragana	Romaji	English
出かける	でかける	dekakeru	go out
はい	はい	hai	Yes
降る	ふる	furu	Fall
お肉	おにく	oniku	Meat
嫌い	きらい	kirai	Hate
夜	よる	yoru	Night
病気	びょうき	byouki	sick
毎晩	まいばん	maiban	every night
九つ	ここのつ	kokonotsu	nine
開ける	あける	akeru	Open
六つ	むっつ	muttsu	six
ええ	ええ	ee	Yes
丸い	まるい	marui	round
さあ	さあ	saa	here we go
並ぶ	ならぶ	narabu	line up
ナイフ	ナイフ	naifu	knife
雨	あめ	ame	rain
横	よこ	yoko	side
花瓶	かびん	kabin	vase
灰皿	はいざら	haizara	ashtray
春	はる	haru	spring
醤油	しょうゆ	shouyu	Soy sauce
入れる	いれる	ireru	Put in
働く	はたらく	hataraku	work
テレビ	テレビ	terebi	TV set
出ます	でます	demasu	go out
九日	ここのか	kokonoka	The 9th
吸う	すう	suu	suck
階段	かいだん	kaidan	Stairs
止まる	とまる	tomaru	Stops
一つ	ひとつ	hitotsu	One
後	あと	ato	rear
可愛い	かわいい	kawaii	cute
ペン	ぺん	pen	pen
今晩	こんばん	konban	tonight
どの	どの	dono	Which
上	うえ	ue	Up
楽しい	たのしい	tanoshii	pleasant
渡す	わたす	watasu	hand over
交番	こうばん	kouban	Police box
英語	えいご	eigo	English
次	つぎ	tsugi	Next
それでは	それでは	soredewa	So
売る	うる	uru	sell
取る	とる	toru	take
いつ	いつ	itsu	When
問題	もんだい	mondai	problem
スプーン	スプーン	supuun	spoon
レストラン	レストラン	resutoran	Restaurant
水曜日	すいようび	suiyoubi	Wednesday
呼ぶ	よぶ	yobu	Call
切符	きっぷ	kippu	ticket
好き	すき	suki"}”>suki	Like
赤い	あかい	akai	red
ラジオ	ラジオ	rajio	radio
たばこ	たばこ	tabako	Tobacco
短い	みじかい	mijikai	short
教室	きょうしつ	kyoushitsu	Classroom
ご主人	ごしゅじん	goshujin	My master
天気	てんき	tenki	weather
脱ぐ	ぬぐ	nugu	Take off
ワイシャツ	ワイシャツ	waishatsu	shirt
使う	つかう	tsukau	use
鍵	かぎ	kagi	key
喫茶店	きっさてん	kissaten	Coffee Shop
物	もの	mono	object
字引	じびき	jibiki	dictionary
伯母さん	おばさん	obasan	Aunt
卵	たまご	tamago	egg
生まれる	うまれる	umareru	to be born
